Type,Brand,Website,Item,Preference
Beauty and Wellness,Amika,https://loveamika.com/,Hair Care,alternative
Beauty and Wellness,Cosrx,https://www.cosrx.com/?srsltid=AfmBOopqsEWKb81fTm69uH-S7DJ0bJSeGsdBTCHTspoJCp8NTZ8SkYyD,Skincare,alternative
Beauty and Wellness,Innisfree,https://us.innisfree.com/,Skincare,alternative
Beauty and Wellness,Josie Maran ,https://www.josiemaran.com/,Bodycare,alternative
Beauty and Wellness,K Beauty Lab,https://kbeautylabseattle.com/,Facial,favorite
Beauty and Wellness,Missha,https://misshaus.com/,Skincare,alternative
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/i66-the-beauty-fountain?_pos=1&_sid=7f03fc3e7&_ss=r&referral=KendraChantelle,I66,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/001-internal-hemp-beauty-molecule?_pos=1&_sid=36e52de8e&_ss=r&referral=KendraChantelle,001,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/i01-orac-camu-camu-olive-leaf-concentrate?_pos=1&_sid=56e0556f3&_ss=r&referral=KendraChantelle,I01,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/f06-serum-face-cell-active?_pos=1&_sid=aa7a77e28&_ss=r&referral=KendraChantelle,F06,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/f82-green-retinol-face-elixir?_pos=1&_sid=545a51ddf&_ss=r&referral=KendraChantelle,F82,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/f63-cell-active-face-oil-serum?_pos=1&_sid=ac807ba89&_ss=r&referral=KendraChantelle,F63,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/cbd-face-elixier-002?_pos=1&_sid=e5ea670ee&_ss=r&referral=KendraChantelle,002,favorite
Beauty and Wellness,Oliveda,https://us.olivetreepeople.com/products/f25-face-oil-neroli?_pos=1&_sid=0fd2d04a7&_ss=r&referral=KendraChantelle,F25,favorite
Beauty and Wellness,Pattern,https://patternbeauty.com/,Hair Care,alternative
